,scripture_references
0,Job 33:4; 2 Peter 1:4; Romans 8:16; 2 Nephi 9:26; Job 33:4; 2 Peter 1:4; Romans 8:16; 2 Nephi 9:26
1,Alma 13:27–29; Alma 30:18; Jacob 4:13; D&C 58:42; Doctrine and Covenants 82:10; Alma 34:32; Ether 6:12; Doctrine and Covenants 84:38; Alma 13:27–29; Alma 30:18; Jacob 4:13; Doctrine and Covenants 82:10; Alma 34:32; Ether 6:12; Doctrine and Covenants 84:38
2,Doctrine and Covenants 18:10; Isaiah 43:4; Moses 1:39; Doctrine and Covenants 76:40; Doctrine and Covenants 4:2; John 17:20–23; 4 Nephi 1:15; Doctrine and Covenants 35:2; Moses 6:68; Moroni 9:6; Doctrine and Covenants 138:56; Doctrine and Covenants 4:2; Matthew 26:39; Alma 26:12; Moroni 10:32; 2 Timothy 2:22; Mosiah 5:12; Doctrine and Covenants 18:10; Isaiah 43:4; Moses 1:39; Doctrine and Covenants 76:40; Doctrine and Covenants 4:2; John 17:20–23; 4 Nephi 1:15; Doctrine and Covenants 35:2; Moses 6:68; Moroni 9:6; Doctrine and Covenants 138:56; Doctrine and Covenants 4:2; Matthew 26:39; Alma 26:12; Moroni 10:32; 2 Timothy 2:22; Mosiah 5:12
3,Matthew 13:24–30; Luke 10:25–37; 2 Nephi 2:25; Revelation 21:3–4; 1 Corinthians 2:9; Luke 9:24; Moroni 7:42; Matthew 13:24–30; Luke 10:25–37; 2 Nephi 2:25; Revelation 21:3–4; 1 Corinthians 2:9; Luke 9:24; Moroni 7:42
4,Alma 5:14; Alma 5:26; Romans 10:17; Ether 12:27; Judges 6:12–16; 1 Samuel 9:21; 1 Samuel 9:2; Numbers 11:14–15; 1 John 3:1; Ether 12:27; Doctrine and Covenants 76:89; Doctrine and Covenants 76:109; Doctrine and Covenants 14:7; Doctrine and Covenants 76:56; Doctrine and Covenants 84:38; 1 Samuel 10:9; Matthew 6:22; 2 Corinthians 11:3; Alma 5:14; Alma 5:26; Romans 10:17; Ether 12:27; Judges 6:12–16; 1 Samuel 9:21; 1 Samuel 9:2; Numbers 11:14–15; 1 John 3:1; Ether 12:27; Doctrine and Covenants 76:89; Doctrine and Covenants 76:109; Doctrine and Covenants 14:7; Doctrine and Covenants 76:56; Doctrine and Covenants 84:38; 1 Samuel 10:9; Matthew 6:22; 2 Corinthians 11:3
5,John 13:20; Matthew 28:19–20; Doctrine and Covenants 59:9; Isaiah 58:13–14; John 13:20; Matthew 28:19–20; Doctrine and Covenants 59:9; Isaiah 58:13–14
6,Isaiah 64:8; Matthew 13:44; Alma 20:23; 1 Nephi 17:6; 2 Nephi 5:27; Isaiah 64:8; Matthew 13:44; Alma 20:23; 1 Nephi 17:6; 2 Nephi 5:27
7,Matthew 6:9–13; Doctrine and Covenants 90:24; Job 5:18; 3 Nephi 9:20; Matthew 6:9–13; Doctrine and Covenants 90:24; Job 5:18; 3 Nephi 9:20
8,Matthew 5:48; Matthew 19:20; Matthew 19:21; 2 Nephi 28:30; 1 Corinthians 11:28; Matthew 5:48; Matthew 19:20; Matthew 19:21; 2 Nephi 28:30; 1 Corinthians 11:28
9,Jacob 2:8; D&C 101:36; Alma 31:38; D&C 121:1; D&C 121:7; D&C 58:3; Alma 42:18; Alma 42:30; D&C 121:37; 2 Nephi 27:25; D&C 20:5; 1 Corinthians 11:28; Isaiah 58:13; 2 Nephi 10:24
10,2 Nephi 2:13; 2 Nephi 9:25; 2 Nephi 11:7; 4 Nephi 1:15; Doctrine and Covenants 59:23; Doctrine and Covenants 38:30; Alma 40:12; 2 Nephi 15:20; Matthew 25:1–30; Alma 41:10; Alma 34:32; Isaiah 58:13–14; Ezekiel 20:20; Exodus 31:16–17; Isaiah 58:13–14; Galatians 5:22; 2 Nephi 2:13; 2 Nephi 9:25; 2 Nephi 11:7; 4 Nephi 1:15; Doctrine and Covenants 59:23; Doctrine and Covenants 38:30; Alma 40:12; 2 Nephi 15:20; Matthew 25:1–30; Alma 41:10; Isaiah 58:13–14; Ezekiel 20:20; Exodus 31:16–17; Isaiah 58:13–14; Galatians 5:22
11,Doctrine and Covenants 105:35; 2 Nephi 25:4; Doctrine and Covenants 78:18; Doctrine and Covenants 88:63; Doctrine and Covenants 11:12; 2 Nephi 9:29; Genesis 2:24; Jacob 4:10; Doctrine and Covenants 38:30; Helaman 3:35; Acts 10:38; Doctrine and Covenants 58:28; Luke 15:17; Doctrine and Covenants 128:22; Doctrine and Covenants 105:35; 2 Nephi 25:4; Doctrine and Covenants 78:18; Doctrine and Covenants 88:63; Doctrine and Covenants 11:12; 2 Nephi 9:29; Genesis 2:24; Jacob 4:10; Doctrine and Covenants 38:30; Helaman 3:35; Acts 10:38; Doctrine and Covenants 58:28; Luke 15:17; Doctrine and Covenants 128:22
12,Isaiah 53:4; Doctrine and Covenants 76:41; Doctrine and Covenants 133:53; Isaiah 63:9; 3 Nephi 27:14; John 19:27; Isaiah 49:15; Moroni 7:45; 1 Corinthians 13:4; Moroni 7:46; 1 Corinthians 13:8; 3 Nephi 22:10; Isaiah 54:10; John 17:4; Obadiah 1:21; Moroni 7:46; 1 Corinthians 13:8; Isaiah 53:4; Doctrine and Covenants 76:41; Doctrine and Covenants 133:53; Isaiah 63:9; 3 Nephi 27:14; John 19:27; Isaiah 49:15; Moroni 7:45; 1 Corinthians 13:4; Moroni 7:46; 1 Corinthians 13:8; 3 Nephi 22:10; Isaiah 54:10; John 17:4; Obadiah 1:21; Moroni 7:46; 1 Corinthians 13:8
13,3 Nephi 17:21; 3 Nephi 17:23; Matthew 13:1–13; Matthew 13:19; 2 Nephi 32:5; 2 Nephi 33:1; Isaiah 28:10; John 5:19; 3 Nephi 17:21; 3 Nephi 17:23; Matthew 13:1–13; Matthew 13:19; 2 Nephi 32:5; 2 Nephi 33:1; Isaiah 28:10; John 5:19
14,Mosiah 18:8; Matthew 5:41; 3 Nephi 19:25; Doctrine and Covenants 138:3; Doctrine and Covenants 88:6; Matthew 11:28; Mosiah 18:8; Matthew 5:41; 3 Nephi 19:25; Doctrine and Covenants 138:3; Doctrine and Covenants 88:6; Matthew 11:28
15,Matthew 14:25–31; John 8:12; Doctrine and Covenants 88:63; Doctrine and Covenants 50:24; Matthew 14:25–31; John 8:12; Doctrine and Covenants 88:63; Doctrine and Covenants 50:24
16,Moroni 10:4; 1 Nephi 1:1; 1 Nephi 2:11; 1 Nephi 4:3; 1 Nephi 3:5; 1 Nephi 3:14; 1 Nephi 7:20; 1 Nephi 15:7; 1 Nephi 15:8; 1 Nephi 15:9; 1 Nephi 15:10; Alma 5:26; Alma 26:27; Alma 17:2; 1 Nephi 8:30; 2 Nephi 32:3; Alma 17:3; Isaiah 58:6; Isaiah 58:9; Doctrine and Covenants 6:23; Alma 32:27–28; Moroni 10:4; 1 Nephi 1:1; 1 Nephi 2:11; 1 Nephi 4:3; 1 Nephi 3:5; 1 Nephi 3:14; 1 Nephi 7:20; 1 Nephi 15:7; 1 Nephi 15:8; 1 Nephi 15:9; 1 Nephi 15:10; Alma 5:26; Alma 26:27; Alma 17:2; 1 Nephi 8:30; 2 Nephi 32:3; Alma 17:3; Isaiah 58:6; Isaiah 58:9; Doctrine and Covenants 6:23; Alma 32:27–28
17,Alma 7:11; 2 Nephi 9:21; Alma 7:12; Hebrews 2:18; Luke 4:18; Luke 5:15; 3 Nephi 17:9; Matthew 8:17; Isaiah 53:4; Isaiah 41:10; Philippians 4:13; Luke 15:11–32; Psalm 34:19; Alma 7:11–12; Alma 26:37; Luke 2:10; James 4:10; D&C 88:6; D&C 6:5; Matthew 7:7; 1 Timothy 4:10; Luke 10:34; Revelation 21:4
18,Matthew 15:28; Matthew 6:30; Luke 8:25; Matthew 8:10; Hebrews 11:1; Alma 32:35; Ephesians 2:8; 1 Samuel 15:22; Luke 22:32; Doctrine and Covenants 8:2; 1 Corinthians 2:11; John 14:16–17; 1 Corinthians 2:14; 3 Nephi 2:1; Ephesians 4:11–14; Matthew 15:28; Matthew 6:30; Luke 8:25; Matthew 8:10; Hebrews 11:1; Alma 32:35; Ephesians 2:8; 1 Samuel 15:22; Luke 22:32; Doctrine and Covenants 8:2; 1 Corinthians 2:11; John 14:16–17; 1 Corinthians 2:14; 3 Nephi 2:1; Ephesians 4:11–14
