,scripture,book,chapter,verse,text
0,Romans 8:16,Romans,8,16,"The Spirit itself beareth witness with our spirit, that we are the children of God:"
1,2 Peter 1:4,2 Peter,1,4,"Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust."
2,2 Nephi 9:26,2 Nephi,9,26,"For the atonement satisfieth the demands of his justice upon all those who have not the law given to them, that they are delivered from that awful monster, death and hell, and the devil, and the lake of fire and brimstone, which is endless torment; and they are restored to that God who gave them breath, which is the Holy One of Israel."
3,Job 33:4,Job,33,4,"The Spirit of God hath made me, and the breath of the Almighty hath given me life."
4,Alma 34:32,Alma,34,32,"For behold, this life is the time for men to prepare to meet God; yea, behold the day of this life is the day for men to perform their labors."
5,Alma 30:18,Alma,30,18,"And thus he did preach unto them, leading away the hearts of many, causing them to lift up their heads in their wickedness, yea, leading away many women, and also men, to commit whoredoms--telling them that when a man was dead, that was the end thereof."
6,Jacob 4:13,Jacob,4,13,"Behold, my brethren, he that prophesieth, let him prophesy to the understanding of men; for the Spirit speaketh the truth and lieth not. Wherefore, it speaketh of things as they really are, and of things as they really will be; wherefore, these things are manifested unto us plainly, for the salvation of our souls. But behold, we are not witnesses alone in these things; for God also spake them unto prophets of old."
7,Moses 6:68,Moses,6,68,"Behold, thou art one in me, a son of God; and thus may all become my sons. Amen."
8,Mosiah 5:12,Mosiah,5,12,"I say unto you, I would that ye should remember to retain the name written always in your hearts, that ye are not found on the left hand of God, but that ye hear and know the voice by which ye shall be called, and also, the name by which he shall call you."
9,Alma 26:12,Alma,26,12,"Yea, I know that I am nothing; as to my strength I am weak; therefore I will not boast of myself, but I will boast of my God, for in his strength I can do all things; yea, behold, many mighty miracles we have wrought in this land, for which we will praise his name forever."
10,2 Timothy 2:22,2 Timothy,2,22,"Flee also youthful lusts: but follow righteousness, faith, charity, peace, with them that call on the Lord out of a pure heart."
11,Isaiah 43:4,Isaiah,43,4,"Since thou wast precious in my sight, thou hast been honourable, and I have loved thee: therefore will I give men for thee, and people for thy life."
