,year,scripture_references
0,2015,2 Peter 1:4; 2 Nephi 9:26; Job 33:4; Romans 8:16
1,2015,Alma 34:32; Ether 6:12; Doctrine and Covenants 84:38; Doctrine and Covenants 82:10; Jacob 4:13; Alma 13:27–29; Alma 30:18; D&C 58:42
2,2015,Moroni 9:6; Moses 6:68; Alma 26:12; John 17:20–23; Doctrine and Covenants 4:2; Mosiah 5:12; Doctrine and Covenants 138:56; 4 Nephi 1:15; Matthew 26:39; Doctrine and Covenants 18:10; Moses 1:39; 2 Timothy 2:22; Doctrine and Covenants 76:40; Moroni 10:32; Doctrine and Covenants 35:2; Isaiah 43:4
3,2015,Luke 10:25–37; Matthew 13:24–30; 1 Corinthians 2:9; 2 Nephi 2:25; Revelation 21:3–4; Moroni 7:42; Luke 9:24
4,2015,Ether 12:27; Doctrine and Covenants 76:109; Doctrine and Covenants 84:38; 2 Corinthians 11:3; Alma 5:14; Matthew 6:22; Numbers 11:14–15; 1 Samuel 9:21; Doctrine and Covenants 76:89; Alma 5:26; 1 Samuel 10:9; Doctrine and Covenants 76:56; Romans 10:17; 1 John 3:1; Judges 6:12–16; Doctrine and Covenants 14:7; 1 Samuel 9:2
5,2015,John 13:20; Doctrine and Covenants 59:9; Matthew 28:19–20; Isaiah 58:13–14
6,2015,Alma 20:23; Isaiah 64:8; 2 Nephi 5:27; Matthew 13:44; 1 Nephi 17:6
7,2015,Doctrine and Covenants 90:24; 3 Nephi 9:20; Job 5:18; Matthew 6:9–13
8,2015,Matthew 19:20; 1 Corinthians 11:28; Matthew 5:48; 2 Nephi 28:30; Matthew 19:21
9,2015,Isaiah 58:13; Alma 42:18; D&C 121:7; Jacob 2:8; 2 Nephi 10:24; Alma 42:30; 2 Nephi 27:25; D&C 20:5; D&C 58:3; D&C 121:37; D&C 101:36; 1 Corinthians 11:28; D&C 121:1; Alma 31:38
10,2015,2 Nephi 2:13; Isaiah 58:13–14; Ezekiel 20:20; Galatians 5:22; 2 Nephi 15:20; Alma 34:32; Alma 40:12; Exodus 31:16–17; 4 Nephi 1:15; Alma 41:10; Doctrine and Covenants 59:23; 2 Nephi 11:7; Matthew 25:1–30; 2 Nephi 9:25; Doctrine and Covenants 38:30
11,2015,Doctrine and Covenants 105:35; Luke 15:17; Doctrine and Covenants 88:63; Jacob 4:10; Doctrine and Covenants 58:28; Doctrine and Covenants 11:12; Genesis 2:24; Doctrine and Covenants 78:18; Helaman 3:35; Doctrine and Covenants 128:22; 2 Nephi 25:4; Doctrine and Covenants 38:30; Acts 10:38; 2 Nephi 9:29
12,2015,Isaiah 53:4; Isaiah 49:15; Moroni 7:45; 3 Nephi 27:14; John 19:27; Isaiah 54:10; Doctrine and Covenants 76:41; Moroni 7:46; Doctrine and Covenants 133:53; 1 Corinthians 13:4; John 17:4; Obadiah 1:21; 3 Nephi 22:10; Isaiah 63:9; 1 Corinthians 13:8
13,2015,Isaiah 28:10; 3 Nephi 17:23; Matthew 13:19; Matthew 13:1–13; 2 Nephi 33:1; John 5:19; 3 Nephi 17:21; 2 Nephi 32:5
14,2015,Mosiah 18:8; Doctrine and Covenants 138:3; Doctrine and Covenants 88:6; 3 Nephi 19:25; Matthew 5:41; Matthew 11:28
15,2015,Doctrine and Covenants 50:24; Doctrine and Covenants 88:63; John 8:12; Matthew 14:25–31
16,2015,Alma 17:2; Alma 32:27–28; 1 Nephi 15:8; Alma 5:26; Moroni 10:4; 1 Nephi 1:1; 1 Nephi 15:10; 1 Nephi 3:14; 1 Nephi 15:7; Alma 26:27; Isaiah 58:6; Doctrine and Covenants 6:23; 1 Nephi 2:11; Isaiah 58:9; 2 Nephi 32:3; 1 Nephi 8:30; 1 Nephi 15:9; 1 Nephi 7:20; Alma 17:3; 1 Nephi 3:5; 1 Nephi 4:3
